period,raid,boss,class_id,spec_id,spec,dps,map_id,difficulty,encounter_id,bossfight_id,datetime,duration,source_url
four_weeks_40,TK,Alar,8,0,Arcane Mage,37710,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,3,2,Survival Hunter,34531,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,9,1,Demonology Warlock,33833,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,7,0,Elemental Shaman,33595,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,11,0,Balance Druid,31986,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,8,1,Fire Mage,31731,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,3,1,Marksmanship Hunter,30588,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,9,0,Affliction Warlock,30523,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,5,2,Shadow Priest,29737,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
four_weeks_40,TK,Alar,4,1,Combat Rogue,28705,,,,,,,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19
