period,week_from,week_to,parsings,raid,boss,frost_dps,frost_rank,dps_specs_present,overall_spec_median,frost_vs_overall_pct,melee_spec_median,frost_vs_melee_pct,unholy_dps,frost_vs_unholy_pct,frost_player_rows,frost_unique_bossfight_ids,specializations_url,frost_players_url,map_ids,difficulties,encounters
four_weeks_40,2026-07-16,2026-08-19,40,TK,Alar,12548.0,23,23,27469.0,-54.32,24319.0,-48.4,21919.0,-42.75,12,10,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A1,,,
four_weeks_40,2026-07-16,2026-08-19,40,TK,Void Reaver,12548.0,23,23,27469.0,-54.32,24319.0,-48.4,21919.0,-42.75,16,11,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=6%3A1,,,
four_weeks_40,2026-07-16,2026-08-19,40,TK,Solarian,12548.0,23,23,27469.0,-54.32,24319.0,-48.4,21919.0,-42.75,12,10,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=2&specs=6%3A1,,,
four_weeks_40,2026-07-16,2026-08-19,40,TK,Kaelthas,12548.0,23,23,27469.0,-54.32,24319.0,-48.4,21919.0,-42.75,10,8,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=38&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=3&specs=6%3A1,,,
four_weeks_40,2026-07-16,2026-08-19,40,SSC,Hydross,12548.0,23,23,27469.0,-54.32,24319.0,-48.4,21919.0,-42.75,17,13,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=0&parsings=40&week_from=2026-07-16&week_to=2026-08-19,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=39&boss=0&specs=6%3A1,,,
four_weeks_40,2026-07-16,2026-08-19,40,SSC,Lurker,12548.0,23,23,27469.0,-54.32,24319.0,-48.4,21919.0,-42.75,6,4,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=1&parsings=40&week_from=2026-07-16&week_to=2026-08-19,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=39&boss=1&specs=6%3A1,,,
four_weeks_40,2026-07-16,2026-08-19,40,SSC,Leotheras,12548.0,23,23,27469.0,-54.32,24319.0,-48.4,21919.0,-42.75,15,11,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=2&parsings=40&week_from=2026-07-16&week_to=2026-08-19,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=39&boss=2&specs=6%3A1,,,
four_weeks_40,2026-07-16,2026-08-19,40,SSC,Karathress,12548.0,23,23,27469.0,-54.32,24319.0,-48.4,21919.0,-42.75,15,12,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=3&parsings=40&week_from=2026-07-16&week_to=2026-08-19,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=39&boss=3&specs=6%3A1,,,
four_weeks_40,2026-07-16,2026-08-19,40,SSC,Morogrim,12548.0,23,23,27469.0,-54.32,24319.0,-48.4,21919.0,-42.75,16,13,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=4&parsings=40&week_from=2026-07-16&week_to=2026-08-19,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=39&boss=4&specs=6%3A1,,,
four_weeks_40,2026-07-16,2026-08-19,40,SSC,Lady Vashj,12548.0,23,23,27469.0,-54.32,24319.0,-48.4,21919.0,-42.75,11,10,https://sirus.su/api/base/x1/leaderboard/pve?ladder=specializations&type=dps&aggregation=avg&page=1&perPage=50&order=39&boss=5&parsings=40&week_from=2026-07-16&week_to=2026-08-19,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=39&boss=5&specs=6%3A1,,,
