period,week_from,week_to,raid,boss,frost_top40_median,frost_raw_logs,frost_top40_logs,frost_rank,specs_present,all_spec_median,frost_vs_all_pct,melee_spec_median,frost_vs_melee_pct,unholy_top40_median,frost_vs_unholy_pct
four_weeks,2026-07-16,2026-08-19,TK,Alar,30017.0,12,5,20,23,37086.0,-19.06,34690.0,-13.47,37086.0,-19.06
four_weeks,2026-07-16,2026-08-19,TK,Void Reaver,44225.0,16,7,13,23,44288.0,-0.14,41805.0,5.79,40499.5,9.2
four_weeks,2026-07-16,2026-08-19,TK,Solarian,38862.0,12,5,17,23,41162.0,-5.59,38862.0,0.0,34713.0,11.95
four_weeks,2026-07-16,2026-08-19,TK,Kaelthas,22968.5,10,4,21,23,30123.0,-23.75,24210.5,-5.13,23964.5,-4.16
four_weeks,2026-07-16,2026-08-19,SSC,Hydross,37306.0,17,7,8,23,36766.0,1.47,36032.0,3.54,36602.5,1.92
four_weeks,2026-07-16,2026-08-19,SSC,Lurker,40510.0,6,3,16,23,44318.5,-8.59,40388.0,0.3,41877.0,-3.26
four_weeks,2026-07-16,2026-08-19,SSC,Leotheras,44838.0,15,6,16,23,46563.5,-3.71,44838.0,0.0,45511.5,-1.48
four_weeks,2026-07-16,2026-08-19,SSC,Karathress,35105.5,15,6,13,23,36034.5,-2.58,31354.5,11.96,30041.0,16.86
four_weeks,2026-07-16,2026-08-19,SSC,Morogrim,45786.0,16,7,20,23,54312.5,-15.7,53878.0,-15.02,48924.0,-6.41
four_weeks,2026-07-16,2026-08-19,SSC,Lady Vashj,43905.0,11,5,6,23,42462.5,3.4,43542.5,0.83,47273.5,-7.13
two_weeks,2026-07-30,2026-08-19,TK,Alar,28997.0,6,3,20,23,35114.0,-17.42,33010.0,-12.16,33981.0,-14.67
two_weeks,2026-07-30,2026-08-19,TK,Void Reaver,44378.5,9,4,12,23,44378.5,0.0,41840.0,6.07,40499.5,9.58
two_weeks,2026-07-30,2026-08-19,TK,Solarian,36865.5,8,4,18,22,41016.5,-10.12,38040.0,-3.09,34713.0,6.2
two_weeks,2026-07-30,2026-08-19,TK,Kaelthas,22644.5,5,2,18,22,29399.5,-22.98,23390.0,-3.19,21934.5,3.24
two_weeks,2026-07-30,2026-08-19,SSC,Hydross,35365.5,8,4,17,23,36488.5,-3.08,35365.5,0.0,35707.0,-0.96
two_weeks,2026-07-30,2026-08-19,SSC,Lurker,40756.0,2,1,16,23,45302.0,-10.03,39951.0,2.01,37076.0,9.93
two_weeks,2026-07-30,2026-08-19,SSC,Leotheras,44813.0,7,3,17,23,46866.0,-4.38,45600.5,-1.73,45878.0,-2.32
two_weeks,2026-07-30,2026-08-19,SSC,Karathress,36183.5,8,4,13,22,37345.5,-3.11,34136.0,6.0,34136.0,6.0
two_weeks,2026-07-30,2026-08-19,SSC,Morogrim,45038.0,8,4,21,23,53350.0,-15.58,52082.0,-13.52,47790.5,-5.76
two_weeks,2026-07-30,2026-08-19,SSC,Lady Vashj,45976.0,6,3,7,23,41821.0,9.94,43542.5,5.59,46469.0,-1.06
