period,week_from,week_to,raid,boss,class_id,spec_id,spec,raw_logs,top40_logs,top40_median,top70_logs,top70_median,source_url
four_weeks,2026-07-16,2026-08-19,TK,Alar,1,0,Arms Warrior,17,7,36056.0,12,34736.5,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=1%3A0
four_weeks,2026-07-16,2026-08-19,TK,Alar,1,1,Fury Warrior,7,3,31972.0,5,31963.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=1%3A1
four_weeks,2026-07-16,2026-08-19,TK,Alar,2,2,Retribution Paladin,70,28,37397.5,49,33349.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=2%3A2
four_weeks,2026-07-16,2026-08-19,TK,Alar,3,0,Beast Mastery Hunter,25,10,39650.5,18,35579.5,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=3%3A0
four_weeks,2026-07-16,2026-08-19,TK,Alar,3,1,Marksmanship Hunter,43,18,42189.0,31,35747.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=3%3A1
four_weeks,2026-07-16,2026-08-19,TK,Alar,3,2,Survival Hunter,23,10,40824.0,17,38044.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=3%3A2
four_weeks,2026-07-16,2026-08-19,TK,Alar,4,0,Assassination Rogue,12,5,24718.0,9,23601.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=4%3A0
four_weeks,2026-07-16,2026-08-19,TK,Alar,4,1,Combat Rogue,17,7,36567.0,12,34632.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=4%3A1
four_weeks,2026-07-16,2026-08-19,TK,Alar,4,2,Subtlety Rogue,7,3,26284.0,5,23117.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=4%3A2
four_weeks,2026-07-16,2026-08-19,TK,Alar,5,2,Shadow Priest,59,24,40059.0,42,36784.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=5%3A2
four_weeks,2026-07-16,2026-08-19,TK,Alar,6,0,Blood DK,31,13,37395.0,22,30342.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A0
four_weeks,2026-07-16,2026-08-19,TK,Alar,6,1,Frost DK,12,5,30017.0,9,28991.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A1
four_weeks,2026-07-16,2026-08-19,TK,Alar,6,2,Unholy DK,15,6,37086.0,11,30439.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=6%3A2
four_weeks,2026-07-16,2026-08-19,TK,Alar,7,0,Elemental Shaman,45,18,39949.0,32,36200.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=7%3A0
four_weeks,2026-07-16,2026-08-19,TK,Alar,7,1,Enhancement Shaman,33,14,34690.0,24,30814.5,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=7%3A1
four_weeks,2026-07-16,2026-08-19,TK,Alar,8,0,Arcane Mage,40,16,41438.0,28,37332.5,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=8%3A0
four_weeks,2026-07-16,2026-08-19,TK,Alar,8,1,Fire Mage,18,8,32400.5,13,29774.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=8%3A1
four_weeks,2026-07-16,2026-08-19,TK,Alar,8,2,Frost Mage,24,10,25547.5,17,23132.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=8%3A2
four_weeks,2026-07-16,2026-08-19,TK,Alar,9,0,Affliction Warlock,11,5,38864.0,8,37902.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=9%3A0
four_weeks,2026-07-16,2026-08-19,TK,Alar,9,1,Demonology Warlock,62,25,42445.0,44,40067.5,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=9%3A1
four_weeks,2026-07-16,2026-08-19,TK,Alar,9,2,Destruction Warlock,7,3,33724.0,5,30977.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=9%3A2
four_weeks,2026-07-16,2026-08-19,TK,Alar,11,0,Balance Druid,83,34,49000.5,59,40542.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=11%3A0
four_weeks,2026-07-16,2026-08-19,TK,Alar,11,1,Feral Druid,20,8,34492.5,14,32811.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=0&specs=11%3A1
four_weeks,2026-07-16,2026-08-19,TK,Void Reaver,1,0,Arms Warrior,24,10,40905.0,17,39136.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=1%3A0
four_weeks,2026-07-16,2026-08-19,TK,Void Reaver,1,1,Fury Warrior,11,5,41805.0,8,39804.0,https://sirus.su/api/base/x1/leaderboard/pve?ladder=players&type=dps&aggregation=max&week_from=2026-07-16&week_to=2026-08-19&page=1&i=38&boss=1&specs=1%3A1
