raid,boss,class_id,spec_id,spec,n,median_dps,mean_dps,min_dps,max_dps
SSC,Hydross,9,0,Affliction Warlock,8,44980.5,44278.38,40810,46266
SSC,Hydross,8,0,Arcane Mage,61,43974,44744.52,26562,68942
SSC,Hydross,4,1,Combat Rogue,12,36698.5,36878.0,24445,45714
SSC,Hydross,9,2,Destruction Warlock,7,34489,32560.86,22485,39126
SSC,Hydross,7,0,Elemental Shaman,30,34106.0,34291.97,21476,44317
SSC,Hydross,6,0,Blood DK,23,33913,33089.65,21326,48668
SSC,Hydross,8,1,Fire Mage,28,33737.5,33318.93,21169,47686
SSC,Hydross,6,1,Frost DK,10,33549.5,32384.6,21900,38357
SSC,Hydross,3,2,Survival Hunter,26,33194.0,32426.5,22877,46783
SSC,Hydross,11,0,Balance Druid,73,33095,31889.73,20874,41450
SSC,Hydross,5,2,Shadow Priest,50,32662.5,32319.26,20898,42422
SSC,Hydross,3,1,Marksmanship Hunter,35,31862,33017.89,24768,47437
SSC,Hydross,9,1,Demonology Warlock,56,31824.0,31409.32,20823,42615
SSC,Hydross,2,2,Retribution Paladin,70,31481.0,30934.37,20695,41241
SSC,Hydross,8,2,Frost Mage,4,31061.5,30234.0,26308,32505
SSC,Hydross,7,1,Enhancement Shaman,31,30874,31608.94,21503,42782
SSC,Hydross,1,0,Arms Warrior,14,30554.5,30575.29,21680,37453
SSC,Hydross,4,0,Assassination Rogue,8,30128.5,30355.5,28168,32296
SSC,Hydross,3,0,Beast Mastery Hunter,23,29975,30765.65,21156,44827
SSC,Hydross,6,2,Unholy DK,9,29789,31090.33,21294,38178
SSC,Hydross,1,1,Fury Warrior,9,28862,27753.44,22637,30862
SSC,Hydross,11,1,Feral Druid,21,28491,30014.05,24551,39959
SSC,Hydross,4,2,Subtlety Rogue,11,27717,28713.91,22649,38550
SSC,Karathress,9,0,Affliction Warlock,9,45146,44191.0,33508,53695
SSC,Karathress,8,0,Arcane Mage,48,36780.5,37573.5,20834,58198
SSC,Karathress,3,0,Beast Mastery Hunter,14,35825.0,34749.86,22450,48504
SSC,Karathress,9,2,Destruction Warlock,6,35255.0,34980.33,27902,45697
SSC,Karathress,3,1,Marksmanship Hunter,23,33890,35955.7,27126,53651
SSC,Karathress,4,1,Combat Rogue,9,33828,34929.89,19909,46844
SSC,Karathress,11,0,Balance Druid,60,32710.5,34956.7,19863,64891
SSC,Karathress,3,2,Survival Hunter,19,32693,35185.11,21308,51970
SSC,Karathress,1,0,Arms Warrior,3,32574,32319.67,28685,35700
SSC,Karathress,5,2,Shadow Priest,49,31786,32666.53,21420,48088
SSC,Karathress,9,1,Demonology Warlock,50,31361.5,32025.22,20606,44807
SSC,Karathress,7,0,Elemental Shaman,29,30816,32322.72,20924,52635
SSC,Karathress,8,1,Fire Mage,21,30422,31970.48,20374,44475
SSC,Karathress,6,0,Blood DK,14,29768.5,29447.71,19986,40981
SSC,Karathress,4,0,Assassination Rogue,4,29012.5,28452.25,19923,35861
SSC,Karathress,6,1,Frost DK,9,28790,31147.78,24245,40664
SSC,Karathress,2,2,Retribution Paladin,28,26579.5,27502.43,19768,42341
SSC,Karathress,7,1,Enhancement Shaman,22,26283.5,28059.09,20140,41539
SSC,Karathress,6,2,Unholy DK,5,25946,28955.0,21757,37342
SSC,Karathress,11,1,Feral Druid,9,25657,27757.56,20387,38012
SSC,Karathress,1,1,Fury Warrior,6,24526.5,25575.0,19616,35330
SSC,Karathress,4,2,Subtlety Rogue,1,19769,19769.0,19769,19769
SSC,Lady Vashj,9,0,Affliction Warlock,10,46848.0,43623.4,26728,54284
SSC,Lady Vashj,4,1,Combat Rogue,11,46098,45547.55,28664,58456
SSC,Lady Vashj,6,1,Frost DK,9,42514,38835.89,23473,46172
SSC,Lady Vashj,6,0,Blood DK,13,41887,41796.92,22977,57565
SSC,Lady Vashj,4,2,Subtlety Rogue,5,41669,38621.4,25096,43068
SSC,Lady Vashj,4,0,Assassination Rogue,4,40924.0,39989.5,34137,43973
SSC,Lady Vashj,8,0,Arcane Mage,38,40705.5,43367.76,24717,64331
SSC,Lady Vashj,8,1,Fire Mage,15,38671,36364.33,19917,47254
SSC,Lady Vashj,6,2,Unholy DK,2,38241.0,38241.0,30013,46469
SSC,Lady Vashj,7,1,Enhancement Shaman,19,37939,39573.95,30960,51701
SSC,Lady Vashj,1,1,Fury Warrior,4,37793.0,38246.75,35358,42043
SSC,Lady Vashj,2,2,Retribution Paladin,25,37757,37858.72,24916,52654
SSC,Lady Vashj,11,1,Feral Druid,13,37337,36230.23,19567,53118
SSC,Lady Vashj,1,0,Arms Warrior,6,36448.5,35642.17,25448,44106
SSC,Lady Vashj,9,1,Demonology Warlock,31,34012,33320.32,22290,45690
SSC,Lady Vashj,7,0,Elemental Shaman,22,33206.5,33769.91,24005,47311
SSC,Lady Vashj,11,0,Balance Druid,37,32510,33592.22,21277,54181
SSC,Lady Vashj,5,2,Shadow Priest,30,32478.5,32246.3,22117,41306
SSC,Lady Vashj,9,2,Destruction Warlock,9,30720,30730.0,26746,34366
SSC,Lady Vashj,3,1,Marksmanship Hunter,5,25662,29972.6,24512,48455
SSC,Lady Vashj,3,2,Survival Hunter,4,25344.5,24656.0,21542,26393
SSC,Lady Vashj,3,0,Beast Mastery Hunter,23,25209,25498.3,19553,37725
SSC,Leotheras,9,0,Affliction Warlock,9,51532,51476.67,47432,55863
SSC,Leotheras,4,1,Combat Rogue,10,48882.5,47468.6,35107,56205
SSC,Leotheras,8,0,Arcane Mage,53,46102,48422.36,24136,74751
SSC,Leotheras,3,2,Survival Hunter,19,45146,44090.95,28324,49889
SSC,Leotheras,3,1,Marksmanship Hunter,28,44641.5,45360.11,24599,61348
SSC,Leotheras,5,2,Shadow Priest,54,44179.0,41766.02,24675,53495
SSC,Leotheras,8,1,Fire Mage,23,43209,44305.0,33733,54377
SSC,Leotheras,11,1,Feral Druid,14,42681.5,41700.36,31866,50163
SSC,Leotheras,6,1,Frost DK,8,42439.0,40817.75,29291,45154
SSC,Leotheras,7,0,Elemental Shaman,32,41592.5,42938.94,29980,56130
SSC,Leotheras,3,0,Beast Mastery Hunter,13,41421,42606.0,36217,53205
SSC,Leotheras,4,0,Assassination Rogue,8,41273.5,39781.25,26518,51526
SSC,Leotheras,9,1,Demonology Warlock,49,41232,40125.1,29967,48699
SSC,Leotheras,9,2,Destruction Warlock,5,40922,42338.4,33075,50557
SSC,Leotheras,6,2,Unholy DK,9,40860,39486.0,28295,47098
SSC,Leotheras,11,0,Balance Druid,69,40852,41209.55,28237,57217
SSC,Leotheras,2,2,Retribution Paladin,49,39587,39288.02,22522,52344
SSC,Leotheras,7,1,Enhancement Shaman,31,39377,39696.39,25961,50739
SSC,Leotheras,1,1,Fury Warrior,6,39166.0,38660.17,30647,45942
SSC,Leotheras,1,0,Arms Warrior,8,38022.0,38342.25,32603,43644
SSC,Leotheras,6,0,Blood DK,18,36983.0,37570.33,22922,55613
SSC,Leotheras,4,2,Subtlety Rogue,8,35077.0,35709.0,27193,42945
SSC,Morogrim,9,0,Affliction Warlock,10,53967.0,53837.7,48228,58138
SSC,Morogrim,8,0,Arcane Mage,51,53495,54354.0,25211,74538
SSC,Morogrim,4,1,Combat Rogue,11,51445,50589.18,34810,63348
SSC,Morogrim,1,1,Fury Warrior,7,50748,50531.14,37195,59391
SSC,Morogrim,9,1,Demonology Warlock,56,48126.5,49504.98,33274,70668
SSC,Morogrim,11,0,Balance Druid,68,47982.5,47301.15,23835,64657
SSC,Morogrim,11,1,Feral Druid,20,47220.5,48286.5,33344,65775
SSC,Morogrim,3,0,Beast Mastery Hunter,19,47086,46430.05,33498,62020
SSC,Morogrim,7,0,Elemental Shaman,31,46957,48694.32,30791,69282
SSC,Morogrim,3,1,Marksmanship Hunter,31,46591,47346.94,30574,63427
SSC,Morogrim,6,2,Unholy DK,9,46263,46047.44,39696,51641
